iter	Passed	Remaining
0	27	13714
1	44	11024
2	61	10159
3	81	10070
4	98	9746
5	115	9502
6	131	9276
7	149	9196
8	166	9074
9	182	8955
10	199	8871
11	216	8788
12	232	8714
13	250	8680
14	267	8633
15	283	8587
16	301	8568
17	319	8560
18	337	8547
19	355	8537
20	372	8507
21	391	8497
22	408	8463
23	428	8495
24	447	8509
25	465	8479
26	482	8459
27	500	8430
28	518	8427
29	539	8458
30	557	8437
31	575	8421
32	594	8409
33	613	8404
34	632	8396
35	649	8368
36	666	8342
37	683	8315
38	701	8293
39	720	8288
40	739	8279
41	758	8267
42	775	8240
43	793	8227
44	815	8244
45	834	8231
46	852	8221
47	872	8215
48	893	8221
49	914	8229
50	934	8227
51	954	8226
52	976	8237
53	998	8243
54	1020	8253
55	1041	8254
56	1062	8259
57	1083	8258
58	1106	8267
59	1129	8281
60	1151	8284
61	1174	8295
62	1199	8318
63	1221	8323
64	1244	8328
65	1266	8330
66	1288	8330
67	1311	8334
68	1336	8348
69	1361	8363
70	1384	8364
71	1410	8382
72	1433	8383
73	1455	8380
74	1479	8382
75	1504	8390
76	1528	8397
77	1557	8429
78	1583	8440
79	1607	8439
80	1631	8437
81	1654	8434
82	1678	8431
83	1702	8430
84	1725	8425
85	1748	8415
86	1771	8411
87	1796	8412
88	1820	8408
89	1844	8401
90	1867	8393
91	1890	8386
92	1914	8380
93	1941	8384
94	1964	8373
95	1988	8367
96	2011	8358
97	2035	8348
98	2057	8332
99	2082	8328
100	2104	8314
101	2128	8303
102	2151	8292
103	2176	8287
104	2199	8274
105	2222	8259
106	2246	8249
107	2269	8238
108	2293	8225
109	2319	8222
110	2340	8203
111	2367	8200
112	2390	8187
113	2414	8174
114	2437	8161
115	2461	8148
116	2484	8133
117	2508	8121
118	2532	8108
119	2557	8097
120	2580	8081
121	2602	8062
122	2624	8044
123	2646	8023
124	2669	8008
125	2694	7998
126	2717	7981
127	2740	7965
128	2763	7948
129	2786	7931
130	2809	7913
131	2832	7897
132	2857	7885
133	2881	7871
134	2907	7859
135	2932	7849
136	2960	7843
137	2984	7828
138	3008	7812
139	3031	7794
140	3056	7782
141	3083	7774
142	3105	7754
143	3128	7734
144	3152	7716
145	3173	7695
146	3197	7677
147	3219	7658
148	3242	7638
149	3266	7621
150	3291	7607
151	3314	7589
152	3339	7573
153	3362	7555
154	3385	7534
155	3408	7516
156	3432	7499
157	3457	7483
158	3480	7463
159	3503	7444
160	3527	7428
161	3550	7407
162	3571	7383
163	3593	7362
164	3616	7342
165	3639	7322
166	3661	7301
167	3685	7282
168	3708	7262
169	3731	7244
170	3754	7222
171	3774	7198
172	3797	7178
173	3821	7159
174	3846	7143
175	3870	7125
176	3893	7105
177	3917	7085
178	3939	7064
179	3962	7044
180	3985	7023
181	4009	7005
182	4032	6985
183	4055	6965
184	4077	6943
185	4099	6921
186	4123	6901
187	4147	6882
188	4167	6857
189	4189	6835
190	4215	6819
191	4238	6799
192	4261	6778
193	4283	6756
194	4306	6736
195	4330	6716
196	4352	6694
197	4372	6669
198	4396	6650
199	4418	6628
200	4440	6604
201	4463	6584
202	4484	6560
203	4507	6539
204	4528	6516
205	4550	6494
206	4576	6478
207	4598	6456
208	4621	6434
209	4643	6412
210	4665	6390
211	4687	6368
212	4709	6345
213	4731	6323
214	4753	6301
215	4778	6282
216	4800	6260
217	4821	6237
218	4843	6215
219	4867	6195
220	4889	6173
221	4911	6150
222	4932	6127
223	4959	6110
224	4982	6089
225	5003	6066
226	5026	6044
227	5049	6023
228	5071	6001
229	5094	5980
230	5115	5957
231	5138	5935
232	5162	5915
233	5183	5892
234	5206	5871
235	5228	5849
236	5250	5826
237	5273	5805
238	5296	5784
239	5321	5765
240	5344	5744
241	5367	5722
242	5389	5700
243	5412	5678
244	5435	5656
245	5459	5636
246	5482	5615
247	5502	5591
248	5523	5567
249	5544	5544
250	5569	5525
251	5591	5502
252	5615	5482
253	5636	5459
254	5659	5437
255	5682	5416
256	5705	5394
257	5727	5372
258	5750	5350
259	5772	5328
260	5794	5306
261	5818	5285
262	5840	5262
263	5862	5240
264	5884	5218
265	5906	5196
266	5929	5174
267	5952	5152
268	5974	5130
269	5995	5107
270	6019	5086
271	6042	5064
272	6062	5041
273	6087	5021
274	6110	4999
275	6133	4978
276	6156	4956
277	6180	4935
278	6202	4912
279	6225	4891
280	6246	4867
281	6267	4844
282	6289	4822
283	6312	4801
284	6335	4779
285	6358	4758
286	6382	4736
287	6404	4714
288	6427	4692
289	6450	4670
290	6474	4650
291	6495	4626
292	6518	4605
293	6542	4583
294	6563	4560
295	6583	4537
296	6607	4516
297	6629	4494
298	6651	4471
299	6673	4449
300	6697	4427
301	6719	4405
302	6742	4383
303	6765	4362
304	6787	4339
305	6810	4317
306	6834	4296
307	6855	4273
308	6876	4250
309	6897	4227
310	6918	4204
311	6938	4180
312	6958	4157
313	6978	4133
314	6998	4110
315	7020	4087
316	7041	4064
317	7062	4041
318	7082	4018
319	7105	3996
320	7126	3973
321	7148	3951
322	7170	3929
323	7190	3905
324	7213	3884
325	7235	3862
326	7258	3840
327	7281	3818
328	7302	3795
329	7325	3773
330	7346	3751
331	7367	3727
332	7388	3705
333	7408	3682
334	7429	3659
335	7452	3637
336	7473	3614
337	7495	3592
338	7516	3569
339	7539	3547
340	7559	3524
341	7580	3501
342	7604	3480
343	7627	3458
344	7649	3436
345	7672	3415
346	7695	3393
347	7717	3370
348	7739	3348
349	7761	3326
350	7783	3304
351	7805	3281
352	7825	3258
353	7848	3237
354	7871	3215
355	7894	3193
356	7916	3171
357	7938	3148
358	7961	3126
359	7985	3105
360	8006	3082
361	8029	3060
362	8049	3037
363	8072	3015
364	8092	2992
365	8113	2970
366	8135	2948
367	8157	2926
368	8177	2903
369	8200	2881
370	8223	2859
371	8246	2837
372	8269	2815
373	8289	2792
374	8309	2769
375	8330	2747
376	8355	2726
377	8379	2704
378	8401	2682
379	8424	2660
380	8446	2638
381	8470	2616
382	8492	2594
383	8514	2572
384	8535	2549
385	8557	2527
386	8576	2504
387	8597	2481
388	8616	2458
389	8638	2436
390	8661	2414
391	8682	2392
392	8703	2369
393	8726	2347
394	8746	2324
395	8770	2303
396	8790	2280
397	8811	2258
398	8833	2235
399	8855	2213
400	8877	2191
401	8900	2169
402	8921	2147
403	8944	2125
404	8965	2103
405	8986	2080
406	9008	2058
407	9030	2036
408	9053	2014
409	9073	1991
410	9097	1969
411	9117	1947
412	9140	1925
413	9162	1903
414	9183	1880
415	9203	1858
416	9224	1836
417	9248	1814
418	9270	1792
419	9292	1769
420	9313	1747
421	9337	1725
422	9358	1703
423	9380	1681
424	9402	1659
425	9425	1637
426	9446	1614
427	9467	1592
428	9489	1570
